age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41,3,17,12,176,9.3,11.359392,5.008608,true
27,1,10,6,31,17.3,1.362202,4.000798,false
40,1,15,14,55,5.5,0.856075,2.168925,false
41,1,15,14,120,2.9,2.65872,0.82128,false
24,2,2,0,28,17.3,1.787436,3.056564,true
41,2,5,5,25,10.2,0.3927,2.1573,false
39,1,20,9,67,30.6,3.833874,16.668126,false
43,1,12,11,38,3.6,0.128592,1.239408,false
24,1,3,4,19,24.4,1.358348,3.277652,true
36,1,0,13,25,19.7,2.7777,2.1473,false
27,1,0,1,16,1.7,0.182512,0.089488,false
25,1,4,0,23,5.2,0.252356,0.943644,false
52,1,24,14,64,10,3.9296,2.4704,false
37,1,6,9,29,16.3,1.715901,3.011099,false
48,1,22,15,100,9.1,3.7037,5.3963,false
36,2,9,6,49,8.6,0.817516,3.396484,true
36,2,13,6,41,16.4,2.918216,3.805784,true
43,1,23,19,72,7.6,1.181952,4.290048,false
39,1,6,9,61,5.7,0.563274,2.913726,false
41,3,0,21,26,1.7,0.099008,0.342992,false
39,1,22,3,52,3.2,1.154816,0.509184,false
47,1,17,21,43,5.6,0.587552,1.820448,false
28,1,3,6,26,10,0.4316,2.1684,false
29,1,8,6,27,9.8,0.402192,2.243808,false
21,2,1,2,16,18,0.24192,2.63808,true
25,4,0,2,32,17.6,2.14016,3.49184,false
45,2,9,26,69,6.7,0.707319,3.915681,false
43,1,25,21,64,16.7,0.951232,9.736768,false
33,2,12,8,58,18.4,3.084208,7.587792,false
26,3,2,1,37,14.2,0.204906,5.049094,false
45,1,3,15,20,2.1,0.105,0.315,false
30,1,1,10,22,10.5,1.13883,1.17117,false
27,3,2,7,26,6,0.72228,0.83772,false
25,1,8,4,27,14.4,1.018656,2.869344,false
25,1,8,1,35,2.9,0.07714,0.93786,false
26,2,6,7,45,26,6.0489,5.6511,false
30,2,10,4,22,16.1,1.409716,2.132284,false
32,2,12,1,54,14.4,3.195936,4.580064,false
28,2,1,8,24,17.1,1.337904,2.766096,true
45,1,23,5,50,4.2,0.5586,1.5414,false
23,1,7,2,31,6.6,0.33759,1.70841,false
34,1,17,3,59,8,1.80776,2.91224,false
42,2,7,23,41,4.6,0.941114,0.944886,false
39,1,19,5,48,13.1,1.930416,4.357584,false
26,1,0,0,14,7.5,0.3024,0.7476,true
21,2,0,1,16,6.8,0.150144,0.937856,false
35,1,13,15,35,4.5,0.43155,1.14345,false
47,1,4,2,26,10.4,0.12168,2.58232,false
23,2,0,2,21,11.4,0.775656,1.618344,true
35,1,18,2,42,7.4,0.205128,2.902872,false
34,1,2,11,25,12.6,0.5733,2.5767,true
46,1,1,12,20,14,0.8092,1.9908,false
46,1,16,18,52,12.9,3.032016,3.675984,true
38,3,3,18,25,3.7,0.311725,0.613275,false
40,2,3,2,28,9.5,0.55328,2.10672,false
37,1,1,3,24,15.1,1.801128,1.822872,true
35,1,9,1,34,5,0.3978,1.3022,false
39,2,16,13,69,2.4,1.061496,0.594504,false
40,3,18,6,100,2.5,1.485,1.015,false
50,3,10,20,80,12.2,2.47904,7.28096,false
31,1,9,10,28,2.4,0.047712,0.624288,false
29,1,13,1,42,7.4,1.457652,1.650348,true
37,1,4,0,23,12.4,0.86986,1.98214,false
33,2,4,9,55,7,2.15985,1.69015,false
26,2,5,7,28,7.8,1.024296,1.159704,false
32,2,11,6,75,23.3,7.7589,9.7161,true
28,2,2,3,23,6.4,0.186944,1.285056,true
39,1,19,8,46,9.1,2.515786,1.670214,false
28,2,8,3,31,8.2,1.492154,1.049846,true
29,1,1,2,20,18.6,0.56916,3.15084,true
34,2,3,8,21,23.1,1.401939,3.449061,false
28,2,5,9,34,23.8,3.099236,4.992764,false
47,1,26,21,100,12.8,4.5824,8.2176,false
43,4,1,5,26,10.6,1.518556,1.237444,false
41,1,13,10,44,1.7,0.07106,0.67694,false
47,1,13,25,51,23.8,3.738504,8.399496,false
24,1,2,1,21,0.6,0.025074,0.100926,false
29,1,1,9,17,6.7,0.157182,0.981818,false
33,1,14,2,37,2.6,0.199134,0.762866,false
36,1,15,10,39,3.2,0.6864,0.5616,false
26,1,4,3,27,10.5,2.47212,0.36288,true
31,1,11,12,45,17,2.7387,4.9113,false
37,1,7,3,32,19.6,2.69696,3.57504,false
35,4,4,16,29,11,1.84382,1.34618,false
26,1,4,3,20,5.4,0.3186,0.7614,false
40,1,10,15,45,18.8,2.01348,6.44652,false
29,2,5,4,36,12.4,3.490848,0.973152,true
37,3,5,17,29,24.6,1.405398,5.728602,false
32,1,12,12,28,2.9,0.116116,0.695884,false
23,2,0,1,17,27.7,2.043706,2.665294,true
32,1,3,10,23,6.2,0.052762,1.373238,false
25,1,1,6,15,11.4,0.37107,1.33893,true
38,1,5,5,54,10.6,1.499688,4.224312,false
32,2,0,6,18,5.8,0.296496,0.747504,true
41,3,2,0,15,26.3,1.960665,1.984335,true
36,1,17,6,54,4.4,0.727056,1.648944,false
42,3,13,0,82,3.3,1.315116,1.390884,false
41,1,14,8,52,7.3,0.926224,2.869776,false
29,2,4,9,19,6.3,0.681093,0.515907,false
38,3,4,6,31,9.3,1.331946,1.551054,true
39,1,22,9,113,2.6,0.987168,1.950832,false
36,1,6,9,26,8.3,0.030212,2.127788,false
33,1,8,7,27,5.8,0.776736,0.789264,false
42,2,21,11,121,3.1,1.365364,2.385636,false
41,2,22,17,75,23.6,9.8766,7.8234,false
40,1,8,17,28,3.6,0.53424,0.47376,false
53,1,9,18,50,11.2,2.016,3.584,true
28,1,4,7,26,13.5,1.29519,2.21481,false
36,2,12,13,60,7.9,1.72062,3.01938,false
34,2,9,13,45,10.1,1.11807,3.42693,false
45,3,2,5,39,4.9,0.45864,1.45236,false
38,1,6,0,41,8.9,0.266377,3.382623,false
21,3,0,2,24,7.7,0.833448,1.014552,false
42,1,12,11,51,21.4,2.411994,8.502006,false
52,1,16,25,64,8.6,1.865856,3.638144,false
25,2,4,6,33,5.2,0.552552,1.163448,false
34,2,9,9,65,6.2,2.10769,1.92231,false
40,2,15,16,73,3.4,1.032512,1.449488,false
31,2,0,4,27,12.8,1.08864,2.36736,true
25,1,1,0,20,6.7,0.47168,0.86832,true
45,1,12,19,37,9.5,1.34273,2.17227,false
23,1,3,0,19,8.4,0.2793,1.3167,true
34,4,6,3,27,35.3,1.982448,7.548552,true
31,1,2,4,22,12.7,1.092454,1.701546,true
28,1,5,9,22,2.8,0.140448,0.475552,false
41,1,7,11,43,4.4,0.694364,1.197636,false
39,2,7,2,68,13,1.0166,7.8234,true
29,2,9,3,36,1.4,0.127008,0.376992,false
21,1,5,1,25,9,0.36675,1.88325,false
41,2,19,2,68,5.8,1.506608,2.437392,false
26,4,1,7,27,2.9,0.311634,0.471366,false
33,1,5,10,18,12.9,0.984528,1.337472,false
45,2,18,19,35,17.4,0.5481,5.5419,false
39,1,17,20,60,13.7,2.44956,5.77044,false
24,1,7,2,21,6.3,0.519939,0.803061,false
29,2,6,7,57,2.2,0.452694,0.801306,false
27,2,1,0,23,12.4,0.2852,2.5668,false
40,1,13,2,28,5.9,0.964768,0.687232,false
29,1,8,10,24,6.7,0.469536,1.138464,false
29,2,4,3,37,6.6,1.15995,1.28205,true
24,1,0,2,16,16,1.00864,1.55136,true
27,1,9,6,45,17.8,2.85156,5.15844,true
41,3,16,22,135,4.4,1.2771,4.6629,false
31,1,11,8,25,9.1,0.14105,2.13395,false
41,1,16,17,68,5.4,0.447984,3.224016,false
42,2,5,3,41,3.4,0.35547,1.03853,false
28,4,1,3,26,12.4,0.377208,2.846792,false
30,4,2,8,25,10,1.77,0.73,false
30,1,11,1,33,8.4,0.681912,2.090088,false
31,1,8,4,44,8,1.72128,1.79872,false
45,2,15,14,51,18.1,1.550808,7.680192,false
43,1,13,23,76,6.1,2.151104,2.484896,true
36,1,4,10,23,16.3,1.327146,2.421854,false
28,1,8,6,30,7.2,0.61344,1.54656,false
27,2,3,5,33,13.2,1.6335,2.7225,false
36,3,13,3,39,19.2,2.800512,4.687488,false
33,1,12,11,32,11.3,2.104512,1.511488,false
54,1,9,2,28,14.8,1.558144,2.585856,true
33,1,9,4,29,13.8,1.348674,2.653326,true
31,1,9,5,26,4.5,0.31005,0.85995,false
21,1,4,0,26,8.9,1.420796,0.893204,false
28,3,5,9,44,8.7,0.773256,3.054744,false
31,2,2,1,26,6.8,0.28288,1.48512,true
32,1,8,6,26,4.1,0.326196,0.739804,false
35,2,1,8,24,12.5,0.591,2.409,true
40,2,13,11,102,18.9,6.226794,13.051206,true
22,1,4,2,24,15.6,1.636128,2.107872,true
39,1,4,9,38,6.5,1.17819,1.29181,false
41,4,14,3,44,1.7,0.353056,0.394944,false
34,1,16,9,79,4,1.73484,1.42516,false
29,1,7,9,22,9.7,0.550572,1.583428,false
